25 96 696 319
50 196 2646 1083
75 296 5846 2311
100 396 10296 3975
125 496 15996 6104
150 596 22946 8534
175 696 31146 11709
200 796 40596 15008
225 896 51296 19011
250 996 63246 23246
275 1096 76446 27978
300 1196 90896 33278
325 1296 106596 38859
350 1396 123546 44983
375 1496 141746 51724
400 1596 161196 58658
425 1696 181896 65946
450 1796 203846 73630
475 1896 227046 81984
500 1996 251496 90653
525 2096 277196 100261
550 2196 304146 109666
575 2296 332346 120266
600 2396 361796 130346
625 2496 392496 141138
650 2596 424446 152799
675 2696 457646 164373
700 2796 492096 177143
725 2896 527796 189904
750 2996 564746 202738
775 3096 602946 217446
800 3196 642396 230456
825 3296 683096 244530
850 3396 725046 260094
875 3496 768246 275301
900 3596 812696 291661
925 3696 858396 308209
950 3796 905346 324334
975 3896 953546 340614
1000 3996 1002996 358893
