25 372 372 372
50 1372 1372 1372
75 2997 2997 2997
100 5247 5247 5247
125 8122 8122 8122
150 11622 11622 11622
175 15747 15747 15747
200 20497 20497 20497
225 25872 25872 25872
250 31872 31872 31872
275 38497 38497 38497
300 45747 45747 45747
325 53622 53622 53622
350 62122 62122 62122
375 71247 71247 71247
400 80997 80997 80996
425 91372 91372 91372
450 102372 102372 102372
475 113997 113997 113996
500 126247 126247 126247
525 139122 139122 139120
550 152622 152622 152623
575 166747 166747 166746
600 181497 181497 181496
625 196872 196872 196872
650 212872 212872 212871
675 229497 229497 229497
700 246747 246747 246747
725 264622 264622 264623
750 283122 283122 283120
775 302247 302247 302244
800 321997 321997 321999
825 342372 342372 342368
850 363372 363372 363373
875 384997 384997 384994
900 407247 407247 407243
925 430122 430122 430120
950 453622 453622 453624
975 477747 477747 477751
1000 502497 502497 502496
